tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-05T00:01:21.192,26468,wallpaper64.exe,134.4,183.8,0,3
1,2026-09-05T00:01:21.192,11220,PotPlayerMini64.exe,85,193.6,0,0
1,2026-09-05T00:01:21.192,0,__TOTAL__,219.4,377.4,0,3
2,2026-09-05T00:01:21.519,26468,wallpaper64.exe,134.4,183.8,0,3
2,2026-09-05T00:01:21.519,11220,PotPlayerMini64.exe,85.7,193.6,0,0
2,2026-09-05T00:01:21.519,0,__TOTAL__,220.1,377.4,0,3
3,2026-09-05T00:01:22.531,26468,wallpaper64.exe,134.4,183.8,0.19,3
3,2026-09-05T00:01:22.531,11220,PotPlayerMini64.exe,85,193.6,0.39,0
3,2026-09-05T00:01:22.531,0,__TOTAL__,219.4,377.4,0.58,3
4,2026-09-05T00:01:23.546,26468,wallpaper64.exe,131.7,180.4,0.29,3
4,2026-09-05T00:01:23.546,11220,PotPlayerMini64.exe,85,193.6,0.38,0
4,2026-09-05T00:01:23.546,0,__TOTAL__,216.7,374,0.67,3
5,2026-09-05T00:01:24.540,26468,wallpaper64.exe,131.7,180.9,0.2,3
5,2026-09-05T00:01:24.540,11220,PotPlayerMini64.exe,85,193.6,0,0
5,2026-09-05T00:01:24.540,0,__TOTAL__,216.7,374.5,0.2,3
6,2026-09-05T00:01:25.553,26468,wallpaper64.exe,137.4,186.8,0.29,3
6,2026-09-05T00:01:25.553,11220,PotPlayerMini64.exe,85,193.6,0.29,0
6,2026-09-05T00:01:25.553,0,__TOTAL__,222.4,380.4,0.58,3
7,2026-09-05T00:01:26.547,26468,wallpaper64.exe,137.4,186.8,0.49,3
7,2026-09-05T00:01:26.547,11220,PotPlayerMini64.exe,85,193.6,0.1,0
7,2026-09-05T00:01:26.547,0,__TOTAL__,222.4,380.4,0.59,3
8,2026-09-05T00:01:27.563,26468,wallpaper64.exe,137.5,186.8,0.19,3
8,2026-09-05T00:01:27.563,11220,PotPlayerMini64.exe,85,193.6,0.19,0
8,2026-09-05T00:01:27.563,0,__TOTAL__,222.5,380.4,0.38,3
9,2026-09-05T00:01:28.564,26468,wallpaper64.exe,135.7,184.8,0.1,3
9,2026-09-05T00:01:28.564,11220,PotPlayerMini64.exe,85,193.6,0,0
9,2026-09-05T00:01:28.564,0,__TOTAL__,220.7,378.4,0.1,3
10,2026-09-05T00:01:29.563,26468,wallpaper64.exe,135.7,185.1,0.1,3
10,2026-09-05T00:01:29.563,11220,PotPlayerMini64.exe,85,193.6,0.29,0
10,2026-09-05T00:01:29.563,0,__TOTAL__,220.7,378.7,0.39,3
11,2026-09-05T00:01:30.559,26468,wallpaper64.exe,137.8,186.9,0,3
11,2026-09-05T00:01:30.559,11220,PotPlayerMini64.exe,85,193.6,0,0
11,2026-09-05T00:01:30.559,0,__TOTAL__,222.8,380.5,0,3
12,2026-09-05T00:01:31.561,26468,wallpaper64.exe,137.9,186.9,0.68,3
12,2026-09-05T00:01:31.561,11220,PotPlayerMini64.exe,85,193.6,0.1,0
12,2026-09-05T00:01:31.561,0,__TOTAL__,222.9,380.5,0.78,3
13,2026-09-05T00:01:32.562,26468,wallpaper64.exe,137.9,186.9,0.39,3
13,2026-09-05T00:01:32.562,11220,PotPlayerMini64.exe,85,193.6,0.88,0
13,2026-09-05T00:01:32.562,0,__TOTAL__,222.9,380.5,1.27,3
14,2026-09-05T00:01:33.564,26468,wallpaper64.exe,136,185.2,0.19,3
14,2026-09-05T00:01:33.564,11220,PotPlayerMini64.exe,85,193.6,0.19,0
14,2026-09-05T00:01:33.564,0,__TOTAL__,221,378.8,0.38,3
15,2026-09-05T00:01:34.561,26468,wallpaper64.exe,136,185.5,0.49,3
15,2026-09-05T00:01:34.561,11220,PotPlayerMini64.exe,85,193.6,0.2,0
15,2026-09-05T00:01:34.561,0,__TOTAL__,221,379.1,0.69,3
16,2026-09-05T00:01:35.561,26468,wallpaper64.exe,138.2,187,0.2,3
16,2026-09-05T00:01:35.561,11220,PotPlayerMini64.exe,85,193.6,0,0
16,2026-09-05T00:01:35.561,0,__TOTAL__,223.2,380.6,0.2,3
17,2026-09-05T00:01:36.566,26468,wallpaper64.exe,138.2,187,0.87,3
17,2026-09-05T00:01:36.566,11220,PotPlayerMini64.exe,85,193.6,0.1,0
17,2026-09-05T00:01:36.566,0,__TOTAL__,223.2,380.6,0.97,3
18,2026-09-05T00:01:37.574,26468,wallpaper64.exe,138.2,187,0.97,3
18,2026-09-05T00:01:37.574,11220,PotPlayerMini64.exe,85,193.6,0.1,0
18,2026-09-05T00:01:37.574,0,__TOTAL__,223.2,380.6,1.07,3
19,2026-09-05T00:01:38.569,26468,wallpaper64.exe,136.4,185.1,0.79,3
19,2026-09-05T00:01:38.569,11220,PotPlayerMini64.exe,85,193.6,0,0
19,2026-09-05T00:01:38.569,0,__TOTAL__,221.4,378.7,0.79,3
20,2026-09-05T00:01:39.583,26468,wallpaper64.exe,136.4,185.1,0.1,3
20,2026-09-05T00:01:39.583,11220,PotPlayerMini64.exe,85,193.6,0.19,0
20,2026-09-05T00:01:39.583,0,__TOTAL__,221.4,378.7,0.29,3
21,2026-09-05T00:01:40.580,26468,wallpaper64.exe,138.5,187.2,0.39,3
21,2026-09-05T00:01:40.580,11220,PotPlayerMini64.exe,85,193.6,0.59,0
21,2026-09-05T00:01:40.580,0,__TOTAL__,223.5,380.8,0.98,3
22,2026-09-05T00:01:41.575,26468,wallpaper64.exe,138.5,187.2,0.29,3
22,2026-09-05T00:01:41.575,11220,PotPlayerMini64.exe,85,193.6,0.2,0
22,2026-09-05T00:01:41.575,0,__TOTAL__,223.5,380.8,0.49,3
23,2026-09-05T00:01:42.579,26468,wallpaper64.exe,136.6,185.2,0.29,3
23,2026-09-05T00:01:42.579,11220,PotPlayerMini64.exe,85,193.6,0,0
23,2026-09-05T00:01:42.579,0,__TOTAL__,221.6,378.8,0.29,3
24,2026-09-05T00:01:43.586,26468,wallpaper64.exe,136.6,185.4,0.97,3
24,2026-09-05T00:01:43.586,11220,PotPlayerMini64.exe,85,193.6,0,0
24,2026-09-05T00:01:43.586,0,__TOTAL__,221.6,379,0.97,3
25,2026-09-05T00:01:44.576,26468,wallpaper64.exe,136.6,185.4,0.49,3
25,2026-09-05T00:01:44.576,11220,PotPlayerMini64.exe,85,193.6,0.2,0
25,2026-09-05T00:01:44.576,0,__TOTAL__,221.6,379,0.69,3
26,2026-09-05T00:01:45.584,26468,wallpaper64.exe,137.6,186.4,0.29,3
26,2026-09-05T00:01:45.584,11220,PotPlayerMini64.exe,85,193.6,0,0
26,2026-09-05T00:01:45.584,0,__TOTAL__,222.6,380,0.29,3
27,2026-09-05T00:01:46.579,26468,wallpaper64.exe,137.6,186.4,0.1,3
27,2026-09-05T00:01:46.579,11220,PotPlayerMini64.exe,85,193.6,0.2,0
27,2026-09-05T00:01:46.579,0,__TOTAL__,222.6,380,0.3,3
28,2026-09-05T00:01:47.580,26468,wallpaper64.exe,136.5,185.1,0.39,3
28,2026-09-05T00:01:47.580,11220,PotPlayerMini64.exe,85,193.6,0.29,0
28,2026-09-05T00:01:47.580,0,__TOTAL__,221.5,378.7,0.68,3
