tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-04T23:53:47.709,11220,vera-media-manager.exe,38.9,8.9,0,0
1,2026-09-04T23:53:47.709,30312,msedgewebview2.exe,119.4,35.9,0,0
1,2026-09-04T23:53:47.709,30132,msedgewebview2.exe,12.8,3,0,0
1,2026-09-04T23:53:47.709,25844,msedgewebview2.exe,137,133.1,0,3
1,2026-09-04T23:53:47.709,25112,msedgewebview2.exe,39.3,12,0,0
1,2026-09-04T23:53:47.709,30040,msedgewebview2.exe,20.2,8.5,0,0
1,2026-09-04T23:53:47.709,2180,msedgewebview2.exe,129.6,77,0,0
1,2026-09-04T23:53:47.709,29644,msedgewebview2.exe,23.8,8.8,0,0
1,2026-09-04T23:53:47.709,0,__TOTAL__,521,287.2,0,3
2,2026-09-04T23:53:48.701,11220,vera-media-manager.exe,38.9,8.9,0,0
2,2026-09-04T23:53:48.701,30312,msedgewebview2.exe,119.4,35.9,0,0
2,2026-09-04T23:53:48.701,30132,msedgewebview2.exe,12.8,3,0,0
2,2026-09-04T23:53:48.701,25844,msedgewebview2.exe,137,133.1,0,2
2,2026-09-04T23:53:48.701,25112,msedgewebview2.exe,39.3,12,0,0
2,2026-09-04T23:53:48.701,30040,msedgewebview2.exe,20.2,8.5,0,0
2,2026-09-04T23:53:48.701,2180,msedgewebview2.exe,129.7,77.1,0,0
2,2026-09-04T23:53:48.701,29644,msedgewebview2.exe,23.8,8.8,0,0
2,2026-09-04T23:53:48.701,0,__TOTAL__,521.1,287.3,0,2
3,2026-09-04T23:53:49.704,11220,vera-media-manager.exe,38.9,8.9,0,0
3,2026-09-04T23:53:49.704,30312,msedgewebview2.exe,119.4,35.9,0,0
3,2026-09-04T23:53:49.704,30132,msedgewebview2.exe,12.8,3,0,0
3,2026-09-04T23:53:49.704,25844,msedgewebview2.exe,121.1,117.1,0,3
3,2026-09-04T23:53:49.704,25112,msedgewebview2.exe,39.3,12,0,0
3,2026-09-04T23:53:49.704,30040,msedgewebview2.exe,20.2,8.5,0,0
3,2026-09-04T23:53:49.704,2180,msedgewebview2.exe,129.7,77.2,0,0
3,2026-09-04T23:53:49.704,29644,msedgewebview2.exe,23.8,8.8,0,0
3,2026-09-04T23:53:49.704,0,__TOTAL__,505.2,271.4,0,3
4,2026-09-04T23:53:50.715,11220,vera-media-manager.exe,38.9,8.9,0,0
4,2026-09-04T23:53:50.715,30312,msedgewebview2.exe,119.5,36,0,0
4,2026-09-04T23:53:50.715,30132,msedgewebview2.exe,12.8,3,0,0
4,2026-09-04T23:53:50.715,25844,msedgewebview2.exe,121.1,117.1,0.39,2
4,2026-09-04T23:53:50.715,25112,msedgewebview2.exe,39.3,12,0,0
4,2026-09-04T23:53:50.715,30040,msedgewebview2.exe,20.2,8.5,0,0
4,2026-09-04T23:53:50.715,2180,msedgewebview2.exe,130.1,77.5,0,0
4,2026-09-04T23:53:50.715,29644,msedgewebview2.exe,23.8,8.8,0,0
4,2026-09-04T23:53:50.715,0,__TOTAL__,505.7,271.8,0.39,2
5,2026-09-04T23:53:51.711,11220,vera-media-manager.exe,38.9,8.9,0,0
5,2026-09-04T23:53:51.711,30312,msedgewebview2.exe,119.4,35.9,0,0
5,2026-09-04T23:53:51.711,30132,msedgewebview2.exe,12.8,3,0,0
5,2026-09-04T23:53:51.711,25844,msedgewebview2.exe,121,117.1,0,3
5,2026-09-04T23:53:51.711,25112,msedgewebview2.exe,39.3,12,0,0
5,2026-09-04T23:53:51.711,30040,msedgewebview2.exe,20.2,8.5,0,0
5,2026-09-04T23:53:51.711,2180,msedgewebview2.exe,129.8,77.3,0,0
5,2026-09-04T23:53:51.711,29644,msedgewebview2.exe,23.8,8.8,0,0
5,2026-09-04T23:53:51.711,0,__TOTAL__,505.2,271.5,0,3
6,2026-09-04T23:53:52.715,11220,vera-media-manager.exe,38.9,8.9,0,0
