tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-04T23:45:16.008,28744,wallpaper64.exe,141.4,187,0,3
1,2026-09-04T23:45:16.008,0,__TOTAL__,141.4,187,0,3
2,2026-09-04T23:45:17.007,28744,wallpaper64.exe,141.4,187,0.1,3
2,2026-09-04T23:45:17.007,0,__TOTAL__,141.4,187,0.1,3
3,2026-09-04T23:45:18.007,28744,wallpaper64.exe,141.4,187,0.59,3
3,2026-09-04T23:45:18.007,0,__TOTAL__,141.4,187,0.59,3
4,2026-09-04T23:45:19.002,28744,wallpaper64.exe,139,183.7,1.08,3
4,2026-09-04T23:45:19.002,0,__TOTAL__,139,183.7,1.08,3
5,2026-09-04T23:45:20.014,28744,wallpaper64.exe,141.6,186.3,0.29,1
5,2026-09-04T23:45:20.014,0,__TOTAL__,141.6,186.3,0.29,1
6,2026-09-04T23:45:21.014,28744,wallpaper64.exe,141.6,186.3,0.49,3
6,2026-09-04T23:45:21.014,0,__TOTAL__,141.6,186.3,0.49,3
7,2026-09-04T23:45:22.014,28744,wallpaper64.exe,141.6,186.3,0.2,3
7,2026-09-04T23:45:22.014,0,__TOTAL__,141.6,186.3,0.2,3
8,2026-09-04T23:45:23.012,28744,wallpaper64.exe,139.9,184.6,0.39,3
8,2026-09-04T23:45:23.012,0,__TOTAL__,139.9,184.6,0.39,3
9,2026-09-04T23:45:24.016,28744,wallpaper64.exe,139.9,185,0.19,3
9,2026-09-04T23:45:24.016,0,__TOTAL__,139.9,185,0.19,3
10,2026-09-04T23:45:25.015,28744,wallpaper64.exe,141.9,186.6,0.2,3
10,2026-09-04T23:45:25.015,0,__TOTAL__,141.9,186.6,0.2,3
11,2026-09-04T23:45:26.022,28744,wallpaper64.exe,141.9,186.6,0.48,3
11,2026-09-04T23:45:26.022,0,__TOTAL__,141.9,186.6,0.48,3
12,2026-09-04T23:45:27.014,28744,wallpaper64.exe,141.9,186.6,0,3
12,2026-09-04T23:45:27.014,0,__TOTAL__,141.9,186.6,0,3
13,2026-09-04T23:45:28.018,28744,wallpaper64.exe,140.3,185.2,0.1,3
13,2026-09-04T23:45:28.018,0,__TOTAL__,140.3,185.2,0.1,3
14,2026-09-04T23:45:29.017,28744,wallpaper64.exe,140.3,185.5,0,3
14,2026-09-04T23:45:29.017,0,__TOTAL__,140.3,185.5,0,3
15,2026-09-04T23:45:30.016,28744,wallpaper64.exe,142.2,187.1,0,3
15,2026-09-04T23:45:30.016,0,__TOTAL__,142.2,187.1,0,3
16,2026-09-04T23:45:31.019,28744,wallpaper64.exe,142.2,187.1,0.49,3
16,2026-09-04T23:45:31.019,0,__TOTAL__,142.2,187.1,0.49,3
17,2026-09-04T23:45:32.014,28744,wallpaper64.exe,142.2,187.1,0.88,3
17,2026-09-04T23:45:32.014,0,__TOTAL__,142.2,187.1,0.88,3
18,2026-09-04T23:45:33.022,28744,wallpaper64.exe,142.2,187.1,1.26,3
18,2026-09-04T23:45:33.022,0,__TOTAL__,142.2,187.1,1.26,3
19,2026-09-04T23:45:34.022,28744,wallpaper64.exe,140.4,185.1,0.1,3
19,2026-09-04T23:45:34.022,0,__TOTAL__,140.4,185.1,0.1,3
20,2026-09-04T23:45:35.021,28744,wallpaper64.exe,140.4,185.1,0.1,3
20,2026-09-04T23:45:35.021,0,__TOTAL__,140.4,185.1,0.1,3
21,2026-09-04T23:45:36.020,28744,wallpaper64.exe,142.3,187.1,0.2,3
21,2026-09-04T23:45:36.020,0,__TOTAL__,142.3,187.1,0.2,3
22,2026-09-04T23:45:37.022,28744,wallpaper64.exe,142.3,187.1,1.07,3
22,2026-09-04T23:45:37.022,0,__TOTAL__,142.3,187.1,1.07,3
