tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-04T23:46:31.092,28744,wallpaper64.exe,140.9,186.1,0,3
1,2026-09-04T23:46:31.092,0,__TOTAL__,140.9,186.1,0,3
2,2026-09-04T23:46:32.081,28744,wallpaper64.exe,140.9,186.1,0.2,3
2,2026-09-04T23:46:32.081,0,__TOTAL__,140.9,186.1,0.2,3
3,2026-09-04T23:46:33.099,28744,wallpaper64.exe,139,183.7,0.86,3
3,2026-09-04T23:46:33.099,0,__TOTAL__,139,183.7,0.86,3
4,2026-09-04T23:46:34.101,28744,wallpaper64.exe,139,184,0.49,2
4,2026-09-04T23:46:34.101,0,__TOTAL__,139,184,0.49,2
5,2026-09-04T23:46:35.099,28744,wallpaper64.exe,141.6,186.3,0.68,3
5,2026-09-04T23:46:35.099,0,__TOTAL__,141.6,186.3,0.68,3
6,2026-09-04T23:46:36.095,28744,wallpaper64.exe,141.6,186.3,0.2,3
6,2026-09-04T23:46:36.095,0,__TOTAL__,141.6,186.3,0.2,3
7,2026-09-04T23:46:37.108,28744,wallpaper64.exe,141.6,186.3,0.39,3
7,2026-09-04T23:46:37.108,0,__TOTAL__,141.6,186.3,0.39,3
8,2026-09-04T23:46:38.106,28744,wallpaper64.exe,139.9,185.1,0.39,3
8,2026-09-04T23:46:38.106,0,__TOTAL__,139.9,185.1,0.39,3
9,2026-09-04T23:46:39.117,28744,wallpaper64.exe,139.9,185.1,0.58,3
9,2026-09-04T23:46:39.117,0,__TOTAL__,139.9,185.1,0.58,3
10,2026-09-04T23:46:40.108,28744,wallpaper64.exe,141.9,186.6,1.18,3
10,2026-09-04T23:46:40.108,0,__TOTAL__,141.9,186.6,1.18,3
11,2026-09-04T23:46:41.111,28744,wallpaper64.exe,141.9,186.6,0.68,3
11,2026-09-04T23:46:41.111,0,__TOTAL__,141.9,186.6,0.68,3
12,2026-09-04T23:46:42.125,28744,wallpaper64.exe,141.9,186.6,0.29,3
12,2026-09-04T23:46:42.125,0,__TOTAL__,141.9,186.6,0.29,3
13,2026-09-04T23:46:43.121,28744,wallpaper64.exe,140,185.5,0.1,3
13,2026-09-04T23:46:43.121,0,__TOTAL__,140,185.5,0.1,3
14,2026-09-04T23:46:44.123,28744,wallpaper64.exe,140,185.5,0.1,3
14,2026-09-04T23:46:44.123,0,__TOTAL__,140,185.5,0.1,3
15,2026-09-04T23:46:45.127,28744,wallpaper64.exe,142.2,187,0.97,3
15,2026-09-04T23:46:45.127,0,__TOTAL__,142.2,187,0.97,3
16,2026-09-04T23:46:46.118,28744,wallpaper64.exe,142.2,187,0.98,3
16,2026-09-04T23:46:46.118,0,__TOTAL__,142.2,187,0.98,3
