tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-04T23:44:05.576,28744,wallpaper64.exe,128,173.3,0,1
1,2026-09-04T23:44:05.576,0,__TOTAL__,128,173.3,0,1
2,2026-09-04T23:44:05.904,28744,wallpaper64.exe,129.9,174.9,0,3
2,2026-09-04T23:44:05.904,0,__TOTAL__,129.9,174.9,0,3
3,2026-09-04T23:44:06.912,28744,wallpaper64.exe,130,174.9,0,3
3,2026-09-04T23:44:06.912,0,__TOTAL__,130,174.9,0,3
4,2026-09-04T23:44:07.916,28744,wallpaper64.exe,130,174.9,0.1,3
4,2026-09-04T23:44:07.916,0,__TOTAL__,130,174.9,0.1,3
5,2026-09-04T23:44:08.907,28744,wallpaper64.exe,128.6,173.8,0.1,3
5,2026-09-04T23:44:08.907,0,__TOTAL__,128.6,173.8,0.1,3
6,2026-09-04T23:44:09.920,28744,wallpaper64.exe,128.6,174.4,0.39,3
6,2026-09-04T23:44:09.920,0,__TOTAL__,128.6,174.4,0.39,3
7,2026-09-04T23:44:10.922,28744,wallpaper64.exe,130.6,175.9,0.68,3
7,2026-09-04T23:44:10.922,0,__TOTAL__,130.6,175.9,0.68,3
8,2026-09-04T23:44:11.921,28744,wallpaper64.exe,130.7,175.9,0.98,3
8,2026-09-04T23:44:11.921,0,__TOTAL__,130.7,175.9,0.98,3
9,2026-09-04T23:44:12.921,28744,wallpaper64.exe,130.7,175.9,0.1,3
9,2026-09-04T23:44:12.921,0,__TOTAL__,130.7,175.9,0.1,3
10,2026-09-04T23:44:13.940,28744,wallpaper64.exe,129,174,0.58,3
10,2026-09-04T23:44:13.940,0,__TOTAL__,129,174,0.58,3
11,2026-09-04T23:44:14.936,28744,wallpaper64.exe,128.3,173.5,0.59,3
11,2026-09-04T23:44:14.936,0,__TOTAL__,128.3,173.5,0.59,3
12,2026-09-04T23:44:15.932,28744,wallpaper64.exe,131,176.1,0.1,3
