tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-04T23:52:32.735,11220,vera-media-manager.exe,39,9.1,0,0
1,2026-09-04T23:52:32.735,30312,msedgewebview2.exe,118.1,36.1,0,0
1,2026-09-04T23:52:32.735,30132,msedgewebview2.exe,18.4,3.3,0,0
1,2026-09-04T23:52:32.735,25844,msedgewebview2.exe,133.4,131.4,0,3
1,2026-09-04T23:52:32.735,25112,msedgewebview2.exe,39,12.1,0,0
1,2026-09-04T23:52:32.735,30040,msedgewebview2.exe,20.2,8.5,0,0
1,2026-09-04T23:52:32.735,2180,msedgewebview2.exe,135.3,82.8,0,0
1,2026-09-04T23:52:32.735,29644,msedgewebview2.exe,23.8,8.8,0,0
1,2026-09-04T23:52:32.735,0,__TOTAL__,527.2,292.1,0,3
2,2026-09-04T23:52:33.587,11220,vera-media-manager.exe,39,9.1,0,0
2,2026-09-04T23:52:33.587,30312,msedgewebview2.exe,118.1,36.1,0,0
2,2026-09-04T23:52:33.587,30132,msedgewebview2.exe,18.4,3.3,0,0
2,2026-09-04T23:52:33.587,25844,msedgewebview2.exe,133.5,131.4,0.57,2
2,2026-09-04T23:52:33.587,25112,msedgewebview2.exe,39,12.1,0,0
2,2026-09-04T23:52:33.587,30040,msedgewebview2.exe,20.2,8.5,0,0
2,2026-09-04T23:52:33.587,2180,msedgewebview2.exe,135.2,82.7,0.23,0
2,2026-09-04T23:52:33.587,29644,msedgewebview2.exe,23.8,8.8,0,0
2,2026-09-04T23:52:33.587,0,__TOTAL__,527.2,292,0.8,2
3,2026-09-04T23:52:34.585,11220,vera-media-manager.exe,39,9.1,0,0
3,2026-09-04T23:52:34.585,30312,msedgewebview2.exe,118.1,36,0,0
3,2026-09-04T23:52:34.585,30132,msedgewebview2.exe,18.4,3.3,0,0
3,2026-09-04T23:52:34.585,25844,msedgewebview2.exe,133.5,131.4,0.49,3
3,2026-09-04T23:52:34.585,25112,msedgewebview2.exe,39,12.1,0,0
3,2026-09-04T23:52:34.585,30040,msedgewebview2.exe,20.2,8.5,0,0
3,2026-09-04T23:52:34.585,2180,msedgewebview2.exe,135.4,82.9,0.1,0
3,2026-09-04T23:52:34.585,29644,msedgewebview2.exe,23.8,8.8,0,0
3,2026-09-04T23:52:34.585,0,__TOTAL__,527.4,292.1,0.59,3
4,2026-09-04T23:52:35.589,11220,vera-media-manager.exe,39,9.1,0,0
4,2026-09-04T23:52:35.589,30312,msedgewebview2.exe,118.1,36,0,0
4,2026-09-04T23:52:35.589,30132,msedgewebview2.exe,18.4,3.3,0,0
