tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-05T00:13:16.148,18380,wallpaper64.exe,41.5,11.9,0,0
1,2026-09-05T00:13:16.148,0,__TOTAL__,41.5,11.9,0,0
2,2026-09-05T00:13:17.142,18380,wallpaper64.exe,41.5,11.9,0,0
2,2026-09-05T00:13:17.142,0,__TOTAL__,41.5,11.9,0,0
3,2026-09-05T00:13:18.176,18380,wallpaper64.exe,41.5,11.9,0,0
3,2026-09-05T00:13:18.176,0,__TOTAL__,41.5,11.9,0,0
4,2026-09-05T00:13:19.162,18380,wallpaper64.exe,41.5,11.9,0,0
4,2026-09-05T00:13:19.162,0,__TOTAL__,41.5,11.9,0,0
5,2026-09-05T00:13:20.154,18380,wallpaper64.exe,41.5,11.9,0,0
5,2026-09-05T00:13:20.154,0,__TOTAL__,41.5,11.9,0,0
6,2026-09-05T00:13:21.155,18380,wallpaper64.exe,41.5,11.9,0,0
6,2026-09-05T00:13:21.155,0,__TOTAL__,41.5,11.9,0,0
7,2026-09-05T00:13:22.158,18380,wallpaper64.exe,41.5,11.9,0,0
7,2026-09-05T00:13:22.158,0,__TOTAL__,41.5,11.9,0,0
8,2026-09-05T00:13:23.157,18380,wallpaper64.exe,41.5,11.9,0.1,0
8,2026-09-05T00:13:23.157,0,__TOTAL__,41.5,11.9,0.1,0
9,2026-09-05T00:13:24.162,18380,wallpaper64.exe,41.5,11.9,0,0
9,2026-09-05T00:13:24.162,0,__TOTAL__,41.5,11.9,0,0
10,2026-09-05T00:13:25.163,18380,wallpaper64.exe,41.5,11.9,0,0
10,2026-09-05T00:13:25.163,0,__TOTAL__,41.5,11.9,0,0
11,2026-09-05T00:13:26.151,18380,wallpaper64.exe,41.5,11.9,0,0
11,2026-09-05T00:13:26.151,0,__TOTAL__,41.5,11.9,0,0
12,2026-09-05T00:13:27.155,18380,wallpaper64.exe,41.5,11.9,0.1,0
12,2026-09-05T00:13:27.155,0,__TOTAL__,41.5,11.9,0.1,0
13,2026-09-05T00:13:28.179,18380,wallpaper64.exe,41.5,11.9,0,0
13,2026-09-05T00:13:28.179,0,__TOTAL__,41.5,11.9,0,0
14,2026-09-05T00:13:29.179,18380,wallpaper64.exe,41.5,11.9,0,0
14,2026-09-05T00:13:29.179,0,__TOTAL__,41.5,11.9,0,0
15,2026-09-05T00:13:30.172,18380,wallpaper64.exe,41.5,11.9,0.1,0
15,2026-09-05T00:13:30.172,0,__TOTAL__,41.5,11.9,0.1,0
16,2026-09-05T00:13:31.169,18380,wallpaper64.exe,41.5,11.9,0,0
