tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
39,2026-09-05T00:11:23.934,0,__TOTAL__,41.9,11.6,0,0
40,2026-09-05T00:11:24.920,18380,wallpaper64.exe,41.9,11.6,0,0
40,2026-09-05T00:11:24.920,0,__TOTAL__,41.9,11.6,0,0
41,2026-09-05T00:11:25.935,18380,wallpaper64.exe,41.9,11.6,0,0
41,2026-09-05T00:11:25.935,0,__TOTAL__,41.9,11.6,0,0
42,2026-09-05T00:11:26.922,18380,wallpaper64.exe,41.9,11.6,0,0
42,2026-09-05T00:11:26.922,0,__TOTAL__,41.9,11.6,0,0
43,2026-09-05T00:11:27.936,18380,wallpaper64.exe,41.9,11.6,0,0
43,2026-09-05T00:11:27.936,0,__TOTAL__,41.9,11.6,0,0
44,2026-09-05T00:11:28.955,18380,wallpaper64.exe,41.9,11.6,0.1,0
44,2026-09-05T00:11:28.955,0,__TOTAL__,41.9,11.6,0.1,0
45,2026-09-05T00:11:29.951,18380,wallpaper64.exe,41.9,11.6,0,0
45,2026-09-05T00:11:29.951,0,__TOTAL__,41.9,11.6,0,0
46,2026-09-05T00:11:30.950,18380,wallpaper64.exe,41.9,11.6,0.2,0
46,2026-09-05T00:11:30.950,0,__TOTAL__,41.9,11.6,0.2,0
47,2026-09-05T00:11:31.952,18380,wallpaper64.exe,41.9,11.6,0.19,0
47,2026-09-05T00:11:31.952,0,__TOTAL__,41.9,11.6,0.19,0
48,2026-09-05T00:11:32.953,18380,wallpaper64.exe,41.9,11.6,0,0
48,2026-09-05T00:11:32.953,0,__TOTAL__,41.9,11.6,0,0
49,2026-09-05T00:11:33.965,18380,wallpaper64.exe,41.9,11.6,0.19,0
49,2026-09-05T00:11:33.965,0,__TOTAL__,41.9,11.6,0.19,0
50,2026-09-05T00:11:34.966,18380,wallpaper64.exe,41.9,11.6,0.1,0
50,2026-09-05T00:11:34.966,0,__TOTAL__,41.9,11.6,0.1,0
51,2026-09-05T00:11:35.965,18380,wallpaper64.exe,41.9,11.6,0,0
51,2026-09-05T00:11:35.965,0,__TOTAL__,41.9,11.6,0,0
52,2026-09-05T00:11:36.968,18380,wallpaper64.exe,41.9,11.6,0,0
52,2026-09-05T00:11:36.968,0,__TOTAL__,41.9,11.6,0,0
53,2026-09-05T00:11:37.981,18380,wallpaper64.exe,41.9,11.6,0,0
53,2026-09-05T00:11:37.981,0,__TOTAL__,41.9,11.6,0,0
54,2026-09-05T00:11:38.977,18380,wallpaper64.exe,41.9,11.6,0,0
54,2026-09-05T00:11:38.977,0,__TOTAL__,41.9,11.6,0,0
55,2026-09-05T00:11:39.985,18380,wallpaper64.exe,41.9,11.6,0,0
55,2026-09-05T00:11:39.985,0,__TOTAL__,41.9,11.6,0,0
56,2026-09-05T00:11:40.984,18380,wallpaper64.exe,41.9,11.6,0,0
56,2026-09-05T00:11:40.984,0,__TOTAL__,41.9,11.6,0,0
57,2026-09-05T00:11:42.001,18380,wallpaper64.exe,41.9,11.6,0,0
57,2026-09-05T00:11:42.001,0,__TOTAL__,41.9,11.6,0,0
58,2026-09-05T00:11:43.016,18380,wallpaper64.exe,41.9,11.6,0.1,0
58,2026-09-05T00:11:43.016,0,__TOTAL__,41.9,11.6,0.1,0
59,2026-09-05T00:11:44.025,18380,wallpaper64.exe,41.9,11.6,0.29,0
59,2026-09-05T00:11:44.025,0,__TOTAL__,41.9,11.6,0.29,0
60,2026-09-05T00:11:45.029,18380,wallpaper64.exe,41.9,11.6,0,0
60,2026-09-05T00:11:45.029,0,__TOTAL__,41.9,11.6,0,0
