tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-05T00:02:31.591,26468,wallpaper64.exe,144.5,193.3,0,3
1,2026-09-05T00:02:31.591,11220,PotPlayerMini64.exe,85.2,194.3,0,0
1,2026-09-05T00:02:31.591,0,__TOTAL__,229.7,387.6,0,3
2,2026-09-05T00:02:32.585,26468,wallpaper64.exe,142.7,191.3,0.1,3
2,2026-09-05T00:02:32.585,11220,PotPlayerMini64.exe,85.3,194.3,0.2,0
2,2026-09-05T00:02:32.585,0,__TOTAL__,228,385.6,0.3,3
3,2026-09-05T00:02:33.601,26468,wallpaper64.exe,142.7,191.3,0.29,3
3,2026-09-05T00:02:33.601,11220,PotPlayerMini64.exe,85.3,194.3,0.1,0
3,2026-09-05T00:02:33.601,0,__TOTAL__,228,385.6,0.39,3
4,2026-09-05T00:02:34.596,26468,wallpaper64.exe,142.6,191.5,0,3
4,2026-09-05T00:02:34.596,11220,PotPlayerMini64.exe,85.3,194.3,0.1,0
4,2026-09-05T00:02:34.596,0,__TOTAL__,227.9,385.8,0.1,3
5,2026-09-05T00:02:35.595,26468,wallpaper64.exe,143.4,192.4,0.29,3
5,2026-09-05T00:02:35.595,11220,PotPlayerMini64.exe,85.4,194.4,0.1,0
5,2026-09-05T00:02:35.595,0,__TOTAL__,228.8,386.8,0.39,3
6,2026-09-05T00:02:36.600,26468,wallpaper64.exe,143.4,192.4,0.58,3
6,2026-09-05T00:02:36.600,11220,PotPlayerMini64.exe,85.4,194.4,0.19,0
6,2026-09-05T00:02:36.600,0,__TOTAL__,228.8,386.8,0.77,3
7,2026-09-05T00:02:37.600,26468,wallpaper64.exe,141.5,190.1,0.29,3
7,2026-09-05T00:02:37.600,11220,PotPlayerMini64.exe,85.4,194.4,0.29,0
7,2026-09-05T00:02:37.600,0,__TOTAL__,226.9,384.5,0.58,3
8,2026-09-05T00:02:38.598,26468,wallpaper64.exe,141.5,190.1,0,3
8,2026-09-05T00:02:38.598,11220,PotPlayerMini64.exe,85.4,194.4,0.29,0
8,2026-09-05T00:02:38.598,0,__TOTAL__,226.9,384.5,0.29,3
9,2026-09-05T00:02:39.601,26468,wallpaper64.exe,143.9,192.5,0.39,3
9,2026-09-05T00:02:39.601,11220,PotPlayerMini64.exe,85.4,194.4,0.1,0
9,2026-09-05T00:02:39.601,0,__TOTAL__,229.3,386.9,0.49,3
10,2026-09-05T00:02:40.592,26468,wallpaper64.exe,143.9,192.5,0.49,3
10,2026-09-05T00:02:40.592,11220,PotPlayerMini64.exe,85.4,194.4,0.2,0
10,2026-09-05T00:02:40.592,0,__TOTAL__,229.3,386.9,0.69,3
11,2026-09-05T00:02:41.596,26468,wallpaper64.exe,143.9,192.5,0.49,3
11,2026-09-05T00:02:41.596,11220,PotPlayerMini64.exe,85.4,194.4,0.1,0
11,2026-09-05T00:02:41.596,0,__TOTAL__,229.3,386.9,0.59,3
12,2026-09-05T00:02:42.590,26468,wallpaper64.exe,142.1,190.7,0.88,3
12,2026-09-05T00:02:42.590,11220,PotPlayerMini64.exe,85.4,194.4,0,0
12,2026-09-05T00:02:42.590,0,__TOTAL__,227.5,385.1,0.88,3
13,2026-09-05T00:02:43.596,26468,wallpaper64.exe,142.1,190.9,0.68,3
13,2026-09-05T00:02:43.596,11220,PotPlayerMini64.exe,85.2,194.4,0.19,0
13,2026-09-05T00:02:43.596,0,__TOTAL__,227.3,385.3,0.87,3
14,2026-09-05T00:02:44.600,26468,wallpaper64.exe,144.1,193.2,0,3
14,2026-09-05T00:02:44.600,11220,PotPlayerMini64.exe,84.9,194.4,0.29,0
14,2026-09-05T00:02:44.600,0,__TOTAL__,229,387.6,0.29,3
15,2026-09-05T00:02:45.606,26468,wallpaper64.exe,144.1,193.2,0.39,3
15,2026-09-05T00:02:45.606,11220,PotPlayerMini64.exe,84.7,194.4,0.29,0
15,2026-09-05T00:02:45.606,0,__TOTAL__,228.8,387.6,0.68,3
16,2026-09-05T00:02:46.592,26468,wallpaper64.exe,144.1,193.2,0.2,3
16,2026-09-05T00:02:46.592,11220,PotPlayerMini64.exe,84.4,194.4,0.2,0
16,2026-09-05T00:02:46.592,0,__TOTAL__,228.5,387.6,0.4,3
17,2026-09-05T00:02:47.614,26468,wallpaper64.exe,142.3,190.9,0.29,3
17,2026-09-05T00:02:47.614,11220,PotPlayerMini64.exe,83.9,194.4,0.48,0
17,2026-09-05T00:02:47.614,0,__TOTAL__,226.2,385.3,0.77,3
18,2026-09-05T00:02:48.614,26468,wallpaper64.exe,142.3,190.9,0.2,3
18,2026-09-05T00:02:48.614,11220,PotPlayerMini64.exe,83.7,194.4,0,0
18,2026-09-05T00:02:48.614,0,__TOTAL__,226,385.3,0.2,3
19,2026-09-05T00:02:49.614,26468,wallpaper64.exe,144.4,193.3,0.2,3
19,2026-09-05T00:02:49.614,11220,PotPlayerMini64.exe,83.4,194.4,0.2,0
19,2026-09-05T00:02:49.614,0,__TOTAL__,227.8,387.7,0.4,3
