tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-04T23:13:19.667,8952,vera-media-manager.exe,73.7,17.2,0,0
1,2026-09-04T23:13:19.667,30160,msedgewebview2.exe,122.1,35.6,0,0
1,2026-09-04T23:13:19.667,24200,msedgewebview2.exe,12.8,3,0,0
1,2026-09-04T23:13:19.667,28228,msedgewebview2.exe,103.5,171.5,0,0
1,2026-09-04T23:13:19.667,26656,msedgewebview2.exe,39.5,12.2,0,0
1,2026-09-04T23:13:19.667,14572,msedgewebview2.exe,20,8.5,0,0
1,2026-09-04T23:13:19.667,17044,msedgewebview2.exe,118.2,64.4,0,0
1,2026-09-04T23:13:19.667,30380,msedgewebview2.exe,23.8,8.8,0,0
1,2026-09-04T23:13:19.667,0,__TOTAL__,513.6,321.2,0,0
2,2026-09-04T23:13:20.660,8952,vera-media-manager.exe,73.7,17.2,0,0
2,2026-09-04T23:13:20.660,30160,msedgewebview2.exe,122.1,35.6,0,0
2,2026-09-04T23:13:20.660,24200,msedgewebview2.exe,12.8,3,0,0
2,2026-09-04T23:13:20.660,28228,msedgewebview2.exe,103.5,171.5,0,0
2,2026-09-04T23:13:20.660,26656,msedgewebview2.exe,39.5,12.2,0,0
2,2026-09-04T23:13:20.660,14572,msedgewebview2.exe,20,8.5,0,0
2,2026-09-04T23:13:20.660,17044,msedgewebview2.exe,118.2,64.4,0,0
2,2026-09-04T23:13:20.660,30380,msedgewebview2.exe,23.8,8.8,0,0
2,2026-09-04T23:13:20.660,0,__TOTAL__,513.6,321.2,0,0
3,2026-09-04T23:13:21.670,8952,vera-media-manager.exe,73.7,17.2,0,0
3,2026-09-04T23:13:21.670,30160,msedgewebview2.exe,122.1,35.6,0,0
3,2026-09-04T23:13:21.670,24200,msedgewebview2.exe,12.8,3,0,0
3,2026-09-04T23:13:21.670,28228,msedgewebview2.exe,103.5,171.5,0,0
3,2026-09-04T23:13:21.670,26656,msedgewebview2.exe,39.5,12.2,0,0
3,2026-09-04T23:13:21.670,14572,msedgewebview2.exe,20,8.5,0,0
3,2026-09-04T23:13:21.670,17044,msedgewebview2.exe,118.2,64.4,0,0
3,2026-09-04T23:13:21.670,30380,msedgewebview2.exe,23.8,8.8,0,0
3,2026-09-04T23:13:21.670,0,__TOTAL__,513.6,321.2,0,0
4,2026-09-04T23:13:22.677,8952,vera-media-manager.exe,73.7,17.2,0,0
4,2026-09-04T23:13:22.677,30160,msedgewebview2.exe,122.1,35.6,0,0
4,2026-09-04T23:13:22.677,24200,msedgewebview2.exe,12.8,3,0,0
4,2026-09-04T23:13:22.677,28228,msedgewebview2.exe,103.5,171.5,0,0
4,2026-09-04T23:13:22.677,26656,msedgewebview2.exe,39.5,12.2,0,0
4,2026-09-04T23:13:22.677,14572,msedgewebview2.exe,20,8.5,0,0
4,2026-09-04T23:13:22.677,17044,msedgewebview2.exe,118.2,64.4,0,0
4,2026-09-04T23:13:22.677,30380,msedgewebview2.exe,23.8,8.8,0,0
4,2026-09-04T23:13:22.677,0,__TOTAL__,513.6,321.2,0,0
5,2026-09-04T23:13:23.664,8952,vera-media-manager.exe,73.7,17.2,0,0
5,2026-09-04T23:13:23.664,30160,msedgewebview2.exe,122.1,35.6,0,0
5,2026-09-04T23:13:23.664,24200,msedgewebview2.exe,12.8,3,0,0
5,2026-09-04T23:13:23.664,28228,msedgewebview2.exe,103.5,171.5,0,0
5,2026-09-04T23:13:23.664,26656,msedgewebview2.exe,39.5,12.2,0,0
5,2026-09-04T23:13:23.664,14572,msedgewebview2.exe,20,8.5,0,0
5,2026-09-04T23:13:23.664,17044,msedgewebview2.exe,118.2,64.4,0,0
5,2026-09-04T23:13:23.664,30380,msedgewebview2.exe,23.8,8.8,0,0
5,2026-09-04T23:13:23.664,0,__TOTAL__,513.6,321.2,0,0
6,2026-09-04T23:13:24.667,8952,vera-media-manager.exe,73.7,17.2,0,0
6,2026-09-04T23:13:24.667,30160,msedgewebview2.exe,122.1,35.6,0,0
6,2026-09-04T23:13:24.667,24200,msedgewebview2.exe,12.8,3,0,0
6,2026-09-04T23:13:24.667,28228,msedgewebview2.exe,103.5,171.5,0,0
6,2026-09-04T23:13:24.667,26656,msedgewebview2.exe,39.5,12.2,0,0
6,2026-09-04T23:13:24.667,14572,msedgewebview2.exe,20,8.5,0,0
6,2026-09-04T23:13:24.667,17044,msedgewebview2.exe,118.2,64.4,0,0
6,2026-09-04T23:13:24.667,30380,msedgewebview2.exe,23.8,8.8,0,0
6,2026-09-04T23:13:24.667,0,__TOTAL__,513.6,321.2,0,0
7,2026-09-04T23:13:25.665,8952,vera-media-manager.exe,73.7,17.2,0,0
7,2026-09-04T23:13:25.665,30160,msedgewebview2.exe,122.3,35.6,0,0
7,2026-09-04T23:13:25.665,24200,msedgewebview2.exe,12.8,3,0,0
7,2026-09-04T23:13:25.665,28228,msedgewebview2.exe,103.7,171.4,0,0
7,2026-09-04T23:13:25.665,26656,msedgewebview2.exe,39.5,12.2,0,0
7,2026-09-04T23:13:25.665,14572,msedgewebview2.exe,20,8.5,0,0
7,2026-09-04T23:13:25.665,17044,msedgewebview2.exe,118.2,64.3,0,0
7,2026-09-04T23:13:25.665,30380,msedgewebview2.exe,23.8,8.8,0,0
7,2026-09-04T23:13:25.665,0,__TOTAL__,514,321,0,0
8,2026-09-04T23:13:26.670,8952,vera-media-manager.exe,73.7,17.2,0,0
8,2026-09-04T23:13:26.670,30160,msedgewebview2.exe,122.3,35.6,0,0
8,2026-09-04T23:13:26.670,24200,msedgewebview2.exe,12.8,3,0,0
8,2026-09-04T23:13:26.670,28228,msedgewebview2.exe,103.7,171.5,0,0
8,2026-09-04T23:13:26.670,26656,msedgewebview2.exe,39.5,12.2,0,0
8,2026-09-04T23:13:26.670,14572,msedgewebview2.exe,20,8.5,0,0
8,2026-09-04T23:13:26.670,17044,msedgewebview2.exe,118.2,64.3,0,0
8,2026-09-04T23:13:26.670,30380,msedgewebview2.exe,23.8,8.8,0,0
8,2026-09-04T23:13:26.670,0,__TOTAL__,514,321.1,0,0
9,2026-09-04T23:13:27.678,8952,vera-media-manager.exe,73.7,17.2,0,0
9,2026-09-04T23:13:27.678,30160,msedgewebview2.exe,122.6,35.8,0,0
9,2026-09-04T23:13:27.678,24200,msedgewebview2.exe,12.8,3,0,0
9,2026-09-04T23:13:27.678,28228,msedgewebview2.exe,103.7,171.5,0,0
9,2026-09-04T23:13:27.678,26656,msedgewebview2.exe,39.6,12.3,0,0
9,2026-09-04T23:13:27.678,14572,msedgewebview2.exe,20,8.5,0,0
9,2026-09-04T23:13:27.678,17044,msedgewebview2.exe,118.2,64.3,0,0
9,2026-09-04T23:13:27.678,30380,msedgewebview2.exe,23.8,8.8,0,0
9,2026-09-04T23:13:27.678,0,__TOTAL__,514.4,321.4,0,0
10,2026-09-04T23:13:28.666,8952,vera-media-manager.exe,73.7,17.2,0,0
10,2026-09-04T23:13:28.666,30160,msedgewebview2.exe,122.7,35.9,0.1,0
10,2026-09-04T23:13:28.666,24200,msedgewebview2.exe,12.8,3,0,0
10,2026-09-04T23:13:28.666,28228,msedgewebview2.exe,103.7,171.5,0,0
10,2026-09-04T23:13:28.666,26656,msedgewebview2.exe,39.8,12.5,0,0
10,2026-09-04T23:13:28.666,14572,msedgewebview2.exe,20,8.5,0,0
10,2026-09-04T23:13:28.666,17044,msedgewebview2.exe,118.2,64.3,0,0
10,2026-09-04T23:13:28.666,30380,msedgewebview2.exe,23.8,8.8,0,0
10,2026-09-04T23:13:28.666,0,__TOTAL__,514.7,321.7,0.1,0
11,2026-09-04T23:13:29.671,8952,vera-media-manager.exe,73.7,17.2,0,0
11,2026-09-04T23:13:29.671,30160,msedgewebview2.exe,122.5,35.8,0,0
11,2026-09-04T23:13:29.671,24200,msedgewebview2.exe,12.8,3,0,0
11,2026-09-04T23:13:29.671,28228,msedgewebview2.exe,103.7,171.5,0,0
11,2026-09-04T23:13:29.671,26656,msedgewebview2.exe,39.7,12.3,0,0
11,2026-09-04T23:13:29.671,14572,msedgewebview2.exe,20,8.5,0,0
11,2026-09-04T23:13:29.671,17044,msedgewebview2.exe,118.2,64.3,0,0
11,2026-09-04T23:13:29.671,30380,msedgewebview2.exe,23.8,8.8,0,0
11,2026-09-04T23:13:29.671,0,__TOTAL__,514.4,321.4,0,0
12,2026-09-04T23:13:30.684,8952,vera-media-manager.exe,73.7,17.2,0,0
12,2026-09-04T23:13:30.684,30160,msedgewebview2.exe,122.5,35.8,0,0
12,2026-09-04T23:13:30.684,24200,msedgewebview2.exe,12.8,3,0,0
12,2026-09-04T23:13:30.684,28228,msedgewebview2.exe,103.7,171.5,0,0
12,2026-09-04T23:13:30.684,26656,msedgewebview2.exe,39.7,12.3,0,0
12,2026-09-04T23:13:30.684,14572,msedgewebview2.exe,20,8.5,0,0
12,2026-09-04T23:13:30.684,17044,msedgewebview2.exe,118.2,64.3,0,0
12,2026-09-04T23:13:30.684,30380,msedgewebview2.exe,23.8,8.8,0,0
12,2026-09-04T23:13:30.684,0,__TOTAL__,514.4,321.4,0,0
13,2026-09-04T23:13:31.686,8952,vera-media-manager.exe,73.7,17.2,0,0
13,2026-09-04T23:13:31.686,30160,msedgewebview2.exe,122.5,35.8,0,0
13,2026-09-04T23:13:31.686,24200,msedgewebview2.exe,12.8,3,0,0
13,2026-09-04T23:13:31.686,28228,msedgewebview2.exe,103.7,171.5,0,0
13,2026-09-04T23:13:31.686,26656,msedgewebview2.exe,39.7,12.3,0,0
13,2026-09-04T23:13:31.686,14572,msedgewebview2.exe,20,8.5,0,0
13,2026-09-04T23:13:31.686,17044,msedgewebview2.exe,118.2,64.3,0,0
13,2026-09-04T23:13:31.686,30380,msedgewebview2.exe,23.8,8.8,0,0
13,2026-09-04T23:13:31.686,0,__TOTAL__,514.4,321.4,0,0
14,2026-09-04T23:13:32.687,8952,vera-media-manager.exe,73.7,17.2,0,0
14,2026-09-04T23:13:32.687,30160,msedgewebview2.exe,122.6,35.8,0,0
14,2026-09-04T23:13:32.687,24200,msedgewebview2.exe,12.8,3,0,0
14,2026-09-04T23:13:32.687,28228,msedgewebview2.exe,103.7,171.5,0,0
14,2026-09-04T23:13:32.687,26656,msedgewebview2.exe,39.7,12.3,0,0
14,2026-09-04T23:13:32.687,14572,msedgewebview2.exe,20,8.5,0,0
14,2026-09-04T23:13:32.687,17044,msedgewebview2.exe,118.2,64.3,0,0
