tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-04T23:12:09.224,8952,vera-media-manager.exe,73.7,17.3,0,0
1,2026-09-04T23:12:09.224,30160,msedgewebview2.exe,119.9,35.5,0,0
1,2026-09-04T23:12:09.224,24200,msedgewebview2.exe,18.4,3.3,0,0
1,2026-09-04T23:12:09.224,28228,msedgewebview2.exe,111.7,171.9,0,0
1,2026-09-04T23:12:09.224,26656,msedgewebview2.exe,39.3,12.2,0,0
1,2026-09-04T23:12:09.224,14572,msedgewebview2.exe,20,8.5,0,0
1,2026-09-04T23:12:09.224,17044,msedgewebview2.exe,124.5,67.6,0,0
1,2026-09-04T23:12:09.224,30380,msedgewebview2.exe,23.8,8.8,0,0
1,2026-09-04T23:12:09.224,0,__TOTAL__,531.3,325.1,0,0
2,2026-09-04T23:12:09.574,8952,vera-media-manager.exe,73.7,17.3,0,0
2,2026-09-04T23:12:09.574,30160,msedgewebview2.exe,119.9,35.5,0,0
2,2026-09-04T23:12:09.574,24200,msedgewebview2.exe,18.4,3.3,0,0
2,2026-09-04T23:12:09.574,28228,msedgewebview2.exe,111.7,171.9,0,0
2,2026-09-04T23:12:09.574,26656,msedgewebview2.exe,39.3,12.2,0,0
2,2026-09-04T23:12:09.574,14572,msedgewebview2.exe,20,8.5,0,0
2,2026-09-04T23:12:09.574,17044,msedgewebview2.exe,124.5,67.6,0,0
2,2026-09-04T23:12:09.574,30380,msedgewebview2.exe,23.8,8.8,0,0
2,2026-09-04T23:12:09.574,0,__TOTAL__,531.3,325.1,0,0
3,2026-09-04T23:12:10.583,8952,vera-media-manager.exe,73.7,17.3,0,0
3,2026-09-04T23:12:10.583,30160,msedgewebview2.exe,119.9,35.5,0,0
3,2026-09-04T23:12:10.583,24200,msedgewebview2.exe,18.4,3.3,0,0
3,2026-09-04T23:12:10.583,28228,msedgewebview2.exe,111.7,171.9,0,0
3,2026-09-04T23:12:10.583,26656,msedgewebview2.exe,39.3,12.2,0,0
3,2026-09-04T23:12:10.583,14572,msedgewebview2.exe,20,8.5,0,0
3,2026-09-04T23:12:10.583,17044,msedgewebview2.exe,124.5,67.6,0,0
3,2026-09-04T23:12:10.583,30380,msedgewebview2.exe,23.8,8.8,0,0
3,2026-09-04T23:12:10.583,0,__TOTAL__,531.3,325.1,0,0
4,2026-09-04T23:12:11.579,8952,vera-media-manager.exe,73.7,17.3,1.08,0
4,2026-09-04T23:12:11.579,30160,msedgewebview2.exe,120.1,35.7,0.49,0
4,2026-09-04T23:12:11.579,24200,msedgewebview2.exe,18.4,3.3,0,0
4,2026-09-04T23:12:11.579,28228,msedgewebview2.exe,111.7,171.9,0,0
4,2026-09-04T23:12:11.579,26656,msedgewebview2.exe,39.5,12.4,0.1,0
4,2026-09-04T23:12:11.579,14572,msedgewebview2.exe,20,8.5,0,0
4,2026-09-04T23:12:11.579,17044,msedgewebview2.exe,124.8,67.5,0.1,0
4,2026-09-04T23:12:11.579,30380,msedgewebview2.exe,23.8,8.8,0,0
4,2026-09-04T23:12:11.579,0,__TOTAL__,532,325.4,1.77,0
5,2026-09-04T23:12:12.582,8952,vera-media-manager.exe,73.7,17.3,0.49,0
5,2026-09-04T23:12:12.582,30160,msedgewebview2.exe,120.1,35.6,0,0
5,2026-09-04T23:12:12.582,24200,msedgewebview2.exe,18.4,3.3,0,0
5,2026-09-04T23:12:12.582,28228,msedgewebview2.exe,111.7,171.9,0,0
5,2026-09-04T23:12:12.582,26656,msedgewebview2.exe,39.3,12.2,0,0
5,2026-09-04T23:12:12.582,14572,msedgewebview2.exe,20,8.5,0,0
5,2026-09-04T23:12:12.582,17044,msedgewebview2.exe,124.8,67.5,0,0
5,2026-09-04T23:12:12.582,30380,msedgewebview2.exe,23.8,8.8,0,0
5,2026-09-04T23:12:12.582,0,__TOTAL__,531.8,325.1,0.49,0
