tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
22,2026-09-05T00:04:07.674,11220,PotPlayerMini64.exe,78.7,194.5,0,0
22,2026-09-05T00:04:07.674,0,__TOTAL__,221.3,386,0.69,3
23,2026-09-05T00:04:08.679,26468,wallpaper64.exe,142.6,191.5,0.1,3
23,2026-09-05T00:04:08.679,11220,PotPlayerMini64.exe,78.7,194.5,0,0
23,2026-09-05T00:04:08.679,0,__TOTAL__,221.3,386,0.1,3
24,2026-09-05T00:04:09.677,26468,wallpaper64.exe,144.6,193.3,0.59,3
24,2026-09-05T00:04:09.677,11220,PotPlayerMini64.exe,78.7,194.5,0,0
24,2026-09-05T00:04:09.677,0,__TOTAL__,223.3,387.8,0.59,3
25,2026-09-05T00:04:10.671,26468,wallpaper64.exe,144.6,193.3,0,3
25,2026-09-05T00:04:10.671,11220,PotPlayerMini64.exe,78.7,194.5,0,0
25,2026-09-05T00:04:10.671,0,__TOTAL__,223.3,387.8,0,3
26,2026-09-05T00:04:11.681,26468,wallpaper64.exe,142.7,191.3,0.39,3
26,2026-09-05T00:04:11.681,11220,PotPlayerMini64.exe,78.7,194.5,0.29,0
26,2026-09-05T00:04:11.681,0,__TOTAL__,221.4,385.8,0.68,3
27,2026-09-05T00:04:12.681,26468,wallpaper64.exe,142.7,192.3,0.59,3
27,2026-09-05T00:04:12.681,11220,PotPlayerMini64.exe,78.7,194.5,0.1,0
27,2026-09-05T00:04:12.681,0,__TOTAL__,221.4,386.8,0.69,3
28,2026-09-05T00:04:13.673,26468,wallpaper64.exe,142.7,192.3,0.1,3
28,2026-09-05T00:04:13.673,11220,PotPlayerMini64.exe,78.7,194.5,0.2,0
28,2026-09-05T00:04:13.673,0,__TOTAL__,221.4,386.8,0.3,3
29,2026-09-05T00:04:14.677,26468,wallpaper64.exe,143.2,192.3,0.1,3
29,2026-09-05T00:04:14.677,11220,PotPlayerMini64.exe,78.8,194.5,0,0
29,2026-09-05T00:04:14.677,0,__TOTAL__,222,386.8,0.1,3
30,2026-09-05T00:04:15.677,26468,wallpaper64.exe,143.2,192.4,0.29,3
30,2026-09-05T00:04:15.677,11220,PotPlayerMini64.exe,78.8,194.5,0,0
30,2026-09-05T00:04:15.677,0,__TOTAL__,222,386.9,0.29,3
31,2026-09-05T00:04:16.683,26468,wallpaper64.exe,141.5,190.1,0,3
31,2026-09-05T00:04:16.683,11220,PotPlayerMini64.exe,78.8,194.5,0,0
31,2026-09-05T00:04:16.683,0,__TOTAL__,220.3,384.6,0,3
32,2026-09-05T00:04:17.679,26468,wallpaper64.exe,141.5,190.1,0.78,3
32,2026-09-05T00:04:17.679,11220,PotPlayerMini64.exe,78.8,194.5,0.2,0
32,2026-09-05T00:04:17.679,0,__TOTAL__,220.3,384.6,0.98,3
33,2026-09-05T00:04:18.675,26468,wallpaper64.exe,143.9,192.5,0.39,5
33,2026-09-05T00:04:18.675,11220,PotPlayerMini64.exe,78.8,194.5,0.2,0
33,2026-09-05T00:04:18.675,0,__TOTAL__,222.7,387,0.59,5
34,2026-09-05T00:04:19.679,26468,wallpaper64.exe,143.9,192.5,0.29,3
34,2026-09-05T00:04:19.679,11220,PotPlayerMini64.exe,78.8,194.5,0.29,0
34,2026-09-05T00:04:19.679,0,__TOTAL__,222.7,387,0.58,3
35,2026-09-05T00:04:20.676,26468,wallpaper64.exe,143.9,192.5,0.98,3
35,2026-09-05T00:04:20.676,11220,PotPlayerMini64.exe,78.8,194.5,0.59,0
35,2026-09-05T00:04:20.676,0,__TOTAL__,222.7,387,1.57,3
36,2026-09-05T00:04:21.680,26468,wallpaper64.exe,142.1,190.7,1.46,3
36,2026-09-05T00:04:21.680,11220,PotPlayerMini64.exe,78.8,194.5,0,0
36,2026-09-05T00:04:21.680,0,__TOTAL__,220.9,385.2,1.46,3
37,2026-09-05T00:04:22.683,26468,wallpaper64.exe,142.1,191,0,3
37,2026-09-05T00:04:22.683,11220,PotPlayerMini64.exe,78.8,194.5,0,0
37,2026-09-05T00:04:22.683,0,__TOTAL__,220.9,385.5,0,3
38,2026-09-05T00:04:23.676,26468,wallpaper64.exe,144.1,193.2,0.39,3
38,2026-09-05T00:04:23.676,11220,PotPlayerMini64.exe,78.8,194.5,0.3,0
38,2026-09-05T00:04:23.676,0,__TOTAL__,222.9,387.7,0.69,3
39,2026-09-05T00:04:24.677,26468,wallpaper64.exe,144.1,193.2,0.49,3
39,2026-09-05T00:04:24.677,11220,PotPlayerMini64.exe,78.8,194.5,0.39,0
39,2026-09-05T00:04:24.677,0,__TOTAL__,222.9,387.7,0.88,3
40,2026-09-05T00:04:25.674,26468,wallpaper64.exe,144.1,193.2,1.08,3
40,2026-09-05T00:04:25.674,11220,PotPlayerMini64.exe,78.8,194.5,0.29,0
40,2026-09-05T00:04:25.674,0,__TOTAL__,222.9,387.7,1.37,3
41,2026-09-05T00:04:26.693,26468,wallpaper64.exe,142.3,190.8,1.91,3
41,2026-09-05T00:04:26.693,11220,PotPlayerMini64.exe,78.8,194.5,0.29,0
41,2026-09-05T00:04:26.693,0,__TOTAL__,221.1,385.3,2.2,3
42,2026-09-05T00:04:27.687,26468,wallpaper64.exe,142.3,190.8,0.59,3
42,2026-09-05T00:04:27.687,11220,PotPlayerMini64.exe,78.8,194.5,0.2,0
42,2026-09-05T00:04:27.687,0,__TOTAL__,221.1,385.3,0.79,3
43,2026-09-05T00:04:28.691,26468,wallpaper64.exe,144.4,193.3,0.39,3
43,2026-09-05T00:04:28.691,11220,PotPlayerMini64.exe,78.8,194.5,0.19,0
43,2026-09-05T00:04:28.691,0,__TOTAL__,223.2,387.8,0.58,3
44,2026-09-05T00:04:29.693,26468,wallpaper64.exe,144.4,193.3,0.39,3
44,2026-09-05T00:04:29.693,11220,PotPlayerMini64.exe,78.8,194.5,0.19,0
44,2026-09-05T00:04:29.693,0,__TOTAL__,223.2,387.8,0.58,3
45,2026-09-05T00:04:30.688,26468,wallpaper64.exe,144.4,193.3,0.2,3
45,2026-09-05T00:04:30.688,11220,PotPlayerMini64.exe,78.8,194.5,0.39,0
45,2026-09-05T00:04:30.688,0,__TOTAL__,223.2,387.8,0.59,3
46,2026-09-05T00:04:31.687,26468,wallpaper64.exe,144.4,193.3,0.49,2
