tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-04T23:24:20.912,29852,vera-media-manager.exe,98.7,28.3,0,0
1,2026-09-04T23:24:20.912,21952,msedgewebview2.exe,121.8,36,0,0
1,2026-09-04T23:24:20.912,26536,msedgewebview2.exe,12.8,2.9,0,0
1,2026-09-04T23:24:20.912,30520,msedgewebview2.exe,130.1,132,0,2
1,2026-09-04T23:24:20.912,29844,msedgewebview2.exe,38.2,12.1,0,0
1,2026-09-04T23:24:20.912,24024,msedgewebview2.exe,20,8.5,0,0
1,2026-09-04T23:24:20.912,27240,msedgewebview2.exe,126.9,74.8,0,0
1,2026-09-04T23:24:20.912,27924,msedgewebview2.exe,23.9,8.9,0,0
1,2026-09-04T23:24:20.912,0,__TOTAL__,572.4,303.5,0,2
2,2026-09-04T23:24:21.709,29852,vera-media-manager.exe,98.7,28.5,5.02,0
2,2026-09-04T23:24:21.709,21952,msedgewebview2.exe,121.8,36,0,0
2,2026-09-04T23:24:21.709,26536,msedgewebview2.exe,12.8,2.9,0,0
2,2026-09-04T23:24:21.709,30520,msedgewebview2.exe,129.9,132,0.37,2
2,2026-09-04T23:24:21.709,29844,msedgewebview2.exe,38.2,12.1,0,0
2,2026-09-04T23:24:21.709,24024,msedgewebview2.exe,20,8.5,0,0
2,2026-09-04T23:24:21.709,27240,msedgewebview2.exe,127.1,74.9,0.73,0
2,2026-09-04T23:24:21.709,27924,msedgewebview2.exe,23.9,8.9,0,0
2,2026-09-04T23:24:21.709,0,__TOTAL__,572.4,303.8,6.12,2
3,2026-09-04T23:24:22.713,29852,vera-media-manager.exe,98.1,27.5,4.38,0
3,2026-09-04T23:24:22.713,21952,msedgewebview2.exe,121.8,36,0,0
3,2026-09-04T23:24:22.713,26536,msedgewebview2.exe,12.8,2.9,0,0
3,2026-09-04T23:24:22.713,30520,msedgewebview2.exe,130.1,132,0.19,2
3,2026-09-04T23:24:22.713,29844,msedgewebview2.exe,38.2,12.1,0,0
3,2026-09-04T23:24:22.713,24024,msedgewebview2.exe,20,8.5,0,0
3,2026-09-04T23:24:22.713,27240,msedgewebview2.exe,127,74.8,0.49,0
3,2026-09-04T23:24:22.713,27924,msedgewebview2.exe,23.9,8.9,0,0
3,2026-09-04T23:24:22.713,0,__TOTAL__,571.9,302.7,5.06,2
4,2026-09-04T23:24:23.717,29852,vera-media-manager.exe,98.1,28.1,5.92,0
4,2026-09-04T23:24:23.717,21952,msedgewebview2.exe,121.8,36,0,0
4,2026-09-04T23:24:23.717,26536,msedgewebview2.exe,12.8,2.9,0,0
4,2026-09-04T23:24:23.717,30520,msedgewebview2.exe,130.1,132.1,0.29,2
4,2026-09-04T23:24:23.717,29844,msedgewebview2.exe,38.2,12.1,0,0
4,2026-09-04T23:24:23.717,24024,msedgewebview2.exe,20,8.5,0,0
4,2026-09-04T23:24:23.717,27240,msedgewebview2.exe,127.2,75,0.1,0
4,2026-09-04T23:24:23.717,27924,msedgewebview2.exe,23.9,8.9,0,0
4,2026-09-04T23:24:23.717,0,__TOTAL__,572.1,303.6,6.31,2
5,2026-09-04T23:24:24.709,29852,vera-media-manager.exe,98.2,28.1,5.41,0
5,2026-09-04T23:24:24.709,21952,msedgewebview2.exe,121.8,36,0,0
5,2026-09-04T23:24:24.709,26536,msedgewebview2.exe,12.8,2.9,0,0
5,2026-09-04T23:24:24.709,30520,msedgewebview2.exe,130.1,132.1,0,2
5,2026-09-04T23:24:24.709,29844,msedgewebview2.exe,38.2,12.1,0,0
5,2026-09-04T23:24:24.709,24024,msedgewebview2.exe,20,8.5,0,0
5,2026-09-04T23:24:24.709,27240,msedgewebview2.exe,127.1,74.9,0,0
5,2026-09-04T23:24:24.709,27924,msedgewebview2.exe,23.9,8.9,0,0
5,2026-09-04T23:24:24.709,0,__TOTAL__,572.1,303.5,5.41,2
6,2026-09-04T23:24:25.714,29852,vera-media-manager.exe,98.2,28.2,5.83,0
6,2026-09-04T23:24:25.714,21952,msedgewebview2.exe,121.8,36,0,0
6,2026-09-04T23:24:25.714,26536,msedgewebview2.exe,12.8,2.9,0,0
6,2026-09-04T23:24:25.714,30520,msedgewebview2.exe,130,132,0,3
6,2026-09-04T23:24:25.714,29844,msedgewebview2.exe,38.2,12.1,0,0
6,2026-09-04T23:24:25.714,24024,msedgewebview2.exe,20,8.5,0,0
6,2026-09-04T23:24:25.714,27240,msedgewebview2.exe,127,74.8,0.1,0
6,2026-09-04T23:24:25.714,27924,msedgewebview2.exe,23.9,8.9,0,0
6,2026-09-04T23:24:25.714,0,__TOTAL__,571.9,303.4,5.93,3
7,2026-09-04T23:24:26.716,29852,vera-media-manager.exe,98.3,28.4,5.36,0
7,2026-09-04T23:24:26.716,21952,msedgewebview2.exe,121.8,36,0,0
7,2026-09-04T23:24:26.716,26536,msedgewebview2.exe,12.8,2.9,0,0
7,2026-09-04T23:24:26.716,30520,msedgewebview2.exe,130,132.1,0,3
7,2026-09-04T23:24:26.716,29844,msedgewebview2.exe,38.2,12.1,0,0
7,2026-09-04T23:24:26.716,24024,msedgewebview2.exe,20,8.5,0,0
7,2026-09-04T23:24:26.716,27240,msedgewebview2.exe,127,74.8,0,0
7,2026-09-04T23:24:26.716,27924,msedgewebview2.exe,23.9,8.9,0,0
7,2026-09-04T23:24:26.716,0,__TOTAL__,572,303.7,5.36,3
8,2026-09-04T23:24:27.709,29852,vera-media-manager.exe,98.5,29,4.62,0
8,2026-09-04T23:24:27.709,21952,msedgewebview2.exe,121.8,36,0,0
8,2026-09-04T23:24:27.709,26536,msedgewebview2.exe,12.8,2.9,0,0
8,2026-09-04T23:24:27.709,30520,msedgewebview2.exe,130.1,132.1,0.1,3
8,2026-09-04T23:24:27.709,29844,msedgewebview2.exe,38.2,12.1,0,0
8,2026-09-04T23:24:27.709,24024,msedgewebview2.exe,20,8.5,0,0
8,2026-09-04T23:24:27.709,27240,msedgewebview2.exe,127.1,74.9,0,0
8,2026-09-04T23:24:27.709,27924,msedgewebview2.exe,23.9,8.9,0,0
8,2026-09-04T23:24:27.709,0,__TOTAL__,572.4,304.4,4.72,3
9,2026-09-04T23:24:28.713,29852,vera-media-manager.exe,98.5,29.3,4.77,0
9,2026-09-04T23:24:28.713,21952,msedgewebview2.exe,121.8,36,0,0
9,2026-09-04T23:24:28.713,26536,msedgewebview2.exe,12.8,2.9,0,0
9,2026-09-04T23:24:28.713,30520,msedgewebview2.exe,130.1,132.1,0.1,3
9,2026-09-04T23:24:28.713,29844,msedgewebview2.exe,38.2,12.1,0,0
9,2026-09-04T23:24:28.713,24024,msedgewebview2.exe,20,8.5,0,0
9,2026-09-04T23:24:28.713,27240,msedgewebview2.exe,127,74.8,0,0
9,2026-09-04T23:24:28.713,27924,msedgewebview2.exe,23.9,8.9,0,0
9,2026-09-04T23:24:28.713,0,__TOTAL__,572.3,304.6,4.87,3
10,2026-09-04T23:24:29.699,29852,vera-media-manager.exe,98.5,29.3,0,0
10,2026-09-04T23:24:29.699,21952,msedgewebview2.exe,121.8,36,0,0
10,2026-09-04T23:24:29.699,26536,msedgewebview2.exe,12.8,2.9,0,0
10,2026-09-04T23:24:29.699,30520,msedgewebview2.exe,129.9,131.9,0.2,5
10,2026-09-04T23:24:29.699,29844,msedgewebview2.exe,38.2,12.1,0,0
10,2026-09-04T23:24:29.699,24024,msedgewebview2.exe,20,8.5,0,0
10,2026-09-04T23:24:29.699,27240,msedgewebview2.exe,126.9,74.7,0,0
10,2026-09-04T23:24:29.699,27924,msedgewebview2.exe,23.9,8.9,0,0
10,2026-09-04T23:24:29.699,0,__TOTAL__,572,304.3,0.2,5
11,2026-09-04T23:24:30.704,29852,vera-media-manager.exe,98.5,29.3,0,0
11,2026-09-04T23:24:30.704,21952,msedgewebview2.exe,121.8,36,0,0
11,2026-09-04T23:24:30.704,26536,msedgewebview2.exe,12.8,2.9,0,0
11,2026-09-04T23:24:30.704,30520,msedgewebview2.exe,145.1,147.1,0.19,2
11,2026-09-04T23:24:30.704,29844,msedgewebview2.exe,38.2,12.1,0,0
11,2026-09-04T23:24:30.704,24024,msedgewebview2.exe,20,8.5,0,0
11,2026-09-04T23:24:30.704,27240,msedgewebview2.exe,125.4,73.2,0,0
11,2026-09-04T23:24:30.704,27924,msedgewebview2.exe,23.9,8.9,0,0
11,2026-09-04T23:24:30.704,0,__TOTAL__,585.7,318,0.19,2
12,2026-09-04T23:24:31.714,29852,vera-media-manager.exe,98.5,29.3,0,0
12,2026-09-04T23:24:31.714,21952,msedgewebview2.exe,121.8,36,0,0
12,2026-09-04T23:24:31.714,26536,msedgewebview2.exe,12.8,2.9,0,0
12,2026-09-04T23:24:31.714,30520,msedgewebview2.exe,145,147,0.19,2
12,2026-09-04T23:24:31.714,29844,msedgewebview2.exe,38.2,12.1,0,0
12,2026-09-04T23:24:31.714,24024,msedgewebview2.exe,20,8.5,0,0
12,2026-09-04T23:24:31.714,27240,msedgewebview2.exe,125.2,73,0,0
12,2026-09-04T23:24:31.714,27924,msedgewebview2.exe,23.9,8.9,0,0
12,2026-09-04T23:24:31.714,0,__TOTAL__,585.4,317.7,0.19,2
13,2026-09-04T23:24:32.709,29852,vera-media-manager.exe,98.5,29.3,0,0
13,2026-09-04T23:24:32.709,21952,msedgewebview2.exe,121.8,36,0,0
13,2026-09-04T23:24:32.709,26536,msedgewebview2.exe,12.8,2.9,0,0
13,2026-09-04T23:24:32.709,30520,msedgewebview2.exe,145,147,0.29,3
13,2026-09-04T23:24:32.709,29844,msedgewebview2.exe,38.2,12.1,0,0
13,2026-09-04T23:24:32.709,24024,msedgewebview2.exe,20,8.5,0,0
13,2026-09-04T23:24:32.709,27240,msedgewebview2.exe,125.3,73,0,0
13,2026-09-04T23:24:32.709,27924,msedgewebview2.exe,23.9,8.9,0,0
13,2026-09-04T23:24:32.709,0,__TOTAL__,585.5,317.7,0.29,3
14,2026-09-04T23:24:33.715,29852,vera-media-manager.exe,98.5,29.3,0,0
14,2026-09-04T23:24:33.715,21952,msedgewebview2.exe,121.8,36,0,0
14,2026-09-04T23:24:33.715,26536,msedgewebview2.exe,12.8,2.9,0,0
14,2026-09-04T23:24:33.715,30520,msedgewebview2.exe,144.8,146.9,0.29,2
14,2026-09-04T23:24:33.715,29844,msedgewebview2.exe,38.2,12.1,0,0
14,2026-09-04T23:24:33.715,24024,msedgewebview2.exe,20,8.5,0,0
14,2026-09-04T23:24:33.715,27240,msedgewebview2.exe,125.3,73.3,0,0
14,2026-09-04T23:24:33.715,27924,msedgewebview2.exe,23.9,8.8,0,0
14,2026-09-04T23:24:33.715,0,__TOTAL__,585.3,317.8,0.29,2
15,2026-09-04T23:24:34.717,29852,vera-media-manager.exe,98.5,29.3,0,0
15,2026-09-04T23:24:34.717,21952,msedgewebview2.exe,121.8,36,0,0
15,2026-09-04T23:24:34.717,26536,msedgewebview2.exe,12.8,2.9,0,0
15,2026-09-04T23:24:34.717,30520,msedgewebview2.exe,144.9,146.1,0.49,2
15,2026-09-04T23:24:34.717,29844,msedgewebview2.exe,38.2,12.1,0,0
15,2026-09-04T23:24:34.717,24024,msedgewebview2.exe,20,8.5,0,0
15,2026-09-04T23:24:34.717,27240,msedgewebview2.exe,125.5,73.5,0,0
15,2026-09-04T23:24:34.717,27924,msedgewebview2.exe,23.9,8.8,0,0
15,2026-09-04T23:24:34.717,0,__TOTAL__,585.6,317.2,0.49,2
16,2026-09-04T23:24:35.711,29852,vera-media-manager.exe,98.5,29.3,0,0
16,2026-09-04T23:24:35.711,21952,msedgewebview2.exe,121.8,36,0,0
16,2026-09-04T23:24:35.711,26536,msedgewebview2.exe,12.8,2.9,0,0
16,2026-09-04T23:24:35.711,30520,msedgewebview2.exe,144.9,146.1,0.39,2
16,2026-09-04T23:24:35.711,29844,msedgewebview2.exe,38.2,12.1,0,0
16,2026-09-04T23:24:35.711,24024,msedgewebview2.exe,20,8.5,0,0
16,2026-09-04T23:24:35.711,27240,msedgewebview2.exe,125.6,73.6,0.2,0
16,2026-09-04T23:24:35.711,27924,msedgewebview2.exe,23.9,8.8,0,0
16,2026-09-04T23:24:35.711,0,__TOTAL__,585.7,317.3,0.59,2
17,2026-09-04T23:24:36.721,29852,vera-media-manager.exe,98.4,29.3,0,0
17,2026-09-04T23:24:36.721,21952,msedgewebview2.exe,121.8,36,0,0
17,2026-09-04T23:24:36.721,26536,msedgewebview2.exe,12.8,2.9,0,0
17,2026-09-04T23:24:36.721,30520,msedgewebview2.exe,144.9,146.1,0.39,2
17,2026-09-04T23:24:36.721,29844,msedgewebview2.exe,38.2,12.1,0,0
17,2026-09-04T23:24:36.721,24024,msedgewebview2.exe,20,8.5,0,0
